"hour","district","rev5","rev1","rev2","rev3","rev4"
"6am","612",4366.03,2428.25,7649.6,6510.6,2325.73
"6am","621",3317.56,1494.54,5423.25,8163.95,3312.95
"6am","622",7275.61,4066.18,11696.67,12306.67,5462.3
"6am","623",5323.8,2693.06,10804.7,8358.91,4178.22
"6am","624",2801.57,1615.65,5340.26,4076.06,1169.32
"6am","631",5760.78,4285.54,10030.61,10584.02,3106.8
"6am","632",1915.33,1192.86,3822.8,3719.29,2314.44
"6am","633",4076.46,2550.27,7564.53,8257.49,3316.08
"6am","641",3963.99,1736.61,5611.35,5352.11,3973.07
"6am","642",4002.49,3479.68,4375.18,6559.03,3428.79
"6am","643",6925.57,2611.65,8747.43,12141.91,7467.65
"6am","644",3896.07,1405.57,5767.62,8753.75,6159.05
"6am","645",2121.91,1295.65,3585.43,2851.52,813.17
"6am","651",4014.82,3644.51,9812.99,10212.85,3786.9
"6am","661",10360.42,10993.94,14760.77,15729.21,4396.31
"6am","662",1016.11,828.43,2917.16,3138.67,1042.34
"6am","663",4299.58,3210.27,7376.33,7505.3,2723.42
"6am","671",4295.43,5725.1,10172.52,5656.26,1700.81
"6am","672",1423.11,1620.28,2922.03,1971.32,691.67
"6am","673",1564.6,1769.2,2510.9,1971.27,565.59
"6am","681",4088.96,4282.39,6185.47,4690.87,2134.8
"6am","691",6579.29,3996.14,7290.76,8005.82,4518.12
"7am","101",8992.14,5435.17,9541,15758.37,13151.32
"7am","102",11841.74,14754.67,11371.89,17336.44,15663.88
"7am","103",8379.25,11794.71,14695.05,16069.48,7475.17
"7am","104",9638.93,9609.54,10407.93,15851.65,10023.37
"7am","105",16741.28,22043.36,20810.95,20779.37,14309.23
"7am","106",9869.34,13995.2,15353.06,22188.4,16619.12
"7am","107",16638.45,25336.98,24005.77,25778.53,12123.45
"7am","108",19624.33,20979.54,23027.43,29968.14,17156.58
"7am","109",8945.73,13389.71,11750.1,10054.69,3235.19
"7am","110",11933.77,15804.87,17036.03,23118.93,11021.24
"7am","111",7519.35,14807.42,14628.42,15370.06,7909.19
"7am","112",12298.86,13437.96,17495.19,19908.46,9086.74
"7am","113",6453.33,6619.42,10926.68,10673.85,4670.2
"7am","114",9126.91,7232.69,11462.76,9445.81,5527.83
"7am","115",755.79,729.43,1715.9,1411.18,644.52
"7am","116",7075.33,5827.85,10762.02,10785.26,5163.05
"7am","117",13535.07,14643.49,17007.01,12102.96,3989.21
"7am","118",14997.44,18001.34,17305.75,10886.45,2976.39
"7am","119",20887.92,13063.6,26255.29,25430.58,16565.61
"7am","120",3413.73,1391.96,2329.03,4414.73,6196.47
"7am","121",3358.19,1508.42,2906.01,4658.29,6360.74
"7am","122",4561.62,960.31,2245.18,4624.87,5912.12
"7am","123",1461.3,621.78,1287.84,688.82,1546.5
"7am","124",7823.89,4850.49,5138.24,5361.91,3482.13
"7am","125",802.99,243.7,311.8,1014.4,1574.61
